racename,riderposition,ridername,riderteam
Classic Brugge-De Panne ME,116,FREDHEIM Stian,Uno-X Mobility
Classic Brugge-De Panne ME,117,VANGHELUWE Warre,Soudal Quick-Step
Classic Brugge-De Panne ME,118,VAN DER SANDE Tosh,Team Visma | Lease a Bike
Classic Brugge-De Panne ME,119,LAMPAERT Yves,Soudal Quick-Step
Classic Brugge-De Panne ME,120,MOSCA Jacopo,Lidl - Trek
Classic Brugge-De Panne ME,121,TEUTENBERG Tim Torn,Lidl - Trek
Classic Brugge-De Panne ME,122,BASTIAENS Ayco,Soudal Quick-Step
Classic Brugge-De Panne ME,123,MCLAY Daniel,Team Visma | Lease a Bike
Classic Brugge-De Panne ME,124,DENS Tuur,Team Flanders - Baloise
Classic Brugge-De Panne ME,125,THEUNS Edward,Lidl - Trek
Classic Brugge-De Panne ME,126,DE LIE Arnaud,Lotto
Classic Brugge-De Panne ME,127,TAMINIAUX Lionel,Lotto
Classic Brugge-De Panne ME,128,KIELICH Timo,Alpecin - Deceuninck
Classic Brugge-De Panne ME,129,HESTERS Jules,Team Flanders - Baloise
Classic Brugge-De Panne ME,130,LE HUITOUZE Eddy,Groupama - FDJ
Classic Brugge-De Panne ME,131,KRISTOFF Alexander,Uno-X Mobility
Classic Brugge-De Panne ME,132,GHYS Robbe,Alpecin - Deceuninck
Classic Brugge-De Panne ME,133,MALUCELLI Matteo,XDS Astana Team
Classic Brugge-De Panne ME,134,DAINESE Alberto,Tudor Pro Cycling Team
Classic Brugge-De Panne ME,135,VAN MECHELEN Vlad,Bahrain - Victorious
Classic Brugge-De Panne ME,136,BARBIER Pierre,Wagner Bazin WB
Classic Brugge-De Panne ME,137,KNIGHT Oliver,Cofidis
Classic Brugge-De Panne ME,138,KOLZE CHANGIZI Sebastian,Tudor Pro Cycling Team
Classic Brugge-De Panne ME,139,FROIDEVAUX Robin,Tudor Pro Cycling Team
Classic Brugge-De Panne ME,140,KOOIJ Olav,Team Visma | Lease a Bike
Classic Brugge-De Panne ME,141,PENHOËT Paul,Groupama - FDJ
Classic Brugge-De Panne ME,142,DAVY Clément,Groupama - FDJ
Classic Brugge-De Panne ME,143,DE BUYST Jasper,Lotto
Classic Brugge-De Panne ME,144,WEEMAES Sasha,Wagner Bazin WB
Classic Brugge-De Panne ME,145,THIJSSEN Gerben,Intermarché - Wanty
Classic Brugge-De Panne ME,146,DÉMARE Arnaud,Arkéa - B&B Hotels
Classic Brugge-De Panne ME,147,PETIT Adrien,Intermarché - Wanty
Classic Brugge-De Panne ME,148,VAN ROOY Kenneth,Wagner Bazin WB
Classic Brugge-De Panne ME,149,TOUZÉ Damien,Cofidis
Classic Brugge-De Panne ME,150,FRETIN Milan,Cofidis
Classic Brugge-De Panne ME,151,ALLEGAERT Piet,Cofidis
Classic Brugge-De Panne ME,152,ZIJLAARD Maikel,Tudor Pro Cycling Team
Classic Brugge-De Panne ME,153,HOLLMANN Juri,Alpecin - Deceuninck
Classic Brugge-De Panne ME,500,JAKOBSEN Fabio,Team Picnic PostNL
Classic Brugge-De Panne ME,500,HERREGODTS Rune,UAE Team Emirates - XRG
Classic Brugge-De Panne ME,500,ARNDT Nikias,Bahrain - Victorious
Classic Brugge-De Panne ME,500,TODOME Yuhi,EF Education - EasyPost
Classic Brugge-De Panne ME,500,DE VYLDER Lindsay,Team Flanders - Baloise
Classic Brugge-De Panne ME,500,VANDENBRANDEN Noah,Team Flanders - Baloise
Classic Brugge-De Panne ME,500,GRONDIN Donavan,Arkéa - B&B Hotels
Classic Brugge-De Panne ME,500,O'BRIEN Kelland,Team Jayco AlUla
Classic Brugge-De Panne ME,500,KIRSCH Alex,Lidl - Trek
Classic Brugge-De Panne ME,500,VAN DIJKE Mick,Red Bull - BORA - hansgrohe
Classic Brugge-De Panne ME,500,CAMPENAERTS Victor,Team Visma | Lease a Bike
Classic Brugge-De Panne ME,500,MERLIER Tim,Soudal Quick-Step
Classic Brugge-De Panne ME,500,ARTZ Huub,Intermarché - Wanty
Classic Brugge-De Panne ME,500,BEHRENS Niklas,Team Visma | Lease a Bike
Classic Brugge-De Panne ME,501,VAN DER HOORN Taco,Intermarché - Wanty
Strade Bianche,1,POGAČAR Tadej,UAE Team Emirates - XRG
Strade Bianche,2,PIDCOCK Thomas,Q36.5 Pro Cycling Team
Strade Bianche,3,WELLENS Tim,UAE Team Emirates - XRG
Strade Bianche,4,HEALY Ben,EF Education - EasyPost
Strade Bianche,5,BILBAO Pello,Bahrain - Victorious
Strade Bianche,6,CORT Magnus,Uno-X Mobility
Strade Bianche,7,VERMEERSCH Gianni,Alpecin - Deceuninck
Strade Bianche,8,VALGREN Michael,EF Education - EasyPost
Strade Bianche,9,VAN EETVELT Lennert,Lotto
Strade Bianche,10,ADRIÀ Roger,Red Bull - BORA - hansgrohe
Strade Bianche,11,LANDA Mikel,Soudal Quick-Step
Strade Bianche,12,SKUJIŅŠ Toms,Lidl - Trek
Strade Bianche,13,SWIFT Connor,INEOS Grenadiers
Strade Bianche,14,FORMOLO Davide,Movistar Team
Strade Bianche,15,HERMANS Quinten,Alpecin - Deceuninck
Strade Bianche,16,VENDRAME Andrea,Decathlon AG2R La Mondiale Team
Strade Bianche,17,LABROSSE Jordan,Decathlon AG2R La Mondiale Team
Strade Bianche,18,VERMEERSCH Florian,UAE Team Emirates - XRG
Strade Bianche,19,ASKEY Lewis,Groupama - FDJ
Strade Bianche,20,VAUQUELIN Kévin,Arkéa - B&B Hotels
Strade Bianche,21,DVERSNES Fredrik,Uno-X Mobility
Strade Bianche,22,VALTER Attila,Team Visma | Lease a Bike
Strade Bianche,23,JOHANNESSEN Tobias Halland,Uno-X Mobility
Strade Bianche,24,HIRSCHI Marc,Tudor Pro Cycling Team
Strade Bianche,25,WITHEN PHILIPSEN Albert,Lidl - Trek
Strade Bianche,26,TRONCHON Bastien,Decathlon AG2R La Mondiale Team
Strade Bianche,27,DONOVAN Mark,Q36.5 Pro Cycling Team
Strade Bianche,28,JOHANNESSEN Anders Halland,Uno-X Mobility
Strade Bianche,29,CATTANEO Mattia,Soudal Quick-Step
Strade Bianche,30,BLACKMORE Joseph,Israel - Premier Tech
Strade Bianche,31,FOLDAGER Anders,Team Jayco AlUla
Strade Bianche,32,WEISS Fabian,Tudor Pro Cycling Team
Strade Bianche,33,DEL TORO Isaac,UAE Team Emirates - XRG
Strade Bianche,34,RIVERA Brandon Smith,INEOS Grenadiers
Strade Bianche,35,MOLLEMA Bauke,Lidl - Trek
Strade Bianche,36,BARRÉ Louis,Intermarché - Wanty
Strade Bianche,37,TEUNS Dylan,Cofidis
Strade Bianche,38,HONORÉ Mikkel Frølich,EF Education - EasyPost
Strade Bianche,39,MADOUAS Valentin,Groupama - FDJ
Strade Bianche,40,TONEATTI Davide,XDS Astana Team
Strade Bianche,41,VELASCO Simone,XDS Astana Team
Strade Bianche,42,LIVYNS Arjen,Lotto
Strade Bianche,43,FUGLSANG Jakob,Israel - Premier Tech
Strade Bianche,44,HAMILTON Chris,Team Picnic PostNL
Strade Bianche,45,GAROFOLI Gianmarco,Soudal Quick-Step
Strade Bianche,46,EULÁLIO Afonso,Bahrain - Victorious
Strade Bianche,47,ZANA Filippo,Team Jayco AlUla
Strade Bianche,48,BUSATTO Francesco,Intermarché - Wanty
Strade Bianche,49,ZOCCARATO Samuele,Team Polti VisitMalta
Strade Bianche,50,THOMPSON Reuben,Lotto
Strade Bianche,51,CLARKE Simon,Israel - Premier Tech
Strade Bianche,52,GRÉGOIRE Romain,Groupama - FDJ
Strade Bianche,53,DELAPLACE Anthony,Arkéa - B&B Hotels
Strade Bianche,54,HOULE Hugo,Israel - Premier Tech
Strade Bianche,55,GERMANI Lorenzo,Groupama - FDJ
Strade Bianche,56,TURNER Ben,INEOS Grenadiers
Strade Bianche,57,ENGELHARDT Felix,Team Jayco AlUla
Strade Bianche,58,COLLEONI Kevin,Intermarché - Wanty
Strade Bianche,59,REINDERINK Pepijn,Soudal Quick-Step
Strade Bianche,60,TRATNIK Jan,Red Bull - BORA - hansgrohe
Strade Bianche,61,TULETT Ben,Team Visma | Lease a Bike
Strade Bianche,62,IZAGIRRE Ion,Cofidis
Strade Bianche,63,ROMELE Alessandro,XDS Astana Team
Strade Bianche,64,CANAL Carlos,Movistar Team
Strade Bianche,65,TJØTTA Martin,Arkéa - B&B Hotels
Strade Bianche,66,QUARTUCCI Lorenzo,Team Solution Tech - Vini Fantini
Strade Bianche,67,SHAW James,EF Education - EasyPost
Strade Bianche,68,BLUME LEVY William,Uno-X Mobility
Strade Bianche,69,VOISARD Yannis,Tudor Pro Cycling Team
Strade Bianche,70,URIANSTAD BUGGE Martin,Uno-X Mobility
Strade Bianche,71,SERRANO Gonzalo,Movistar Team
Strade Bianche,72,CONTI Valerio,Team Solution Tech - Vini Fantini
Strade Bianche,73,MAAS Jan,Cofidis
Strade Bianche,74,WARBASSE Larry,Tudor Pro Cycling Team
Strade Bianche,75,ARANBURU Alex,Cofidis
Strade Bianche,76,PACHER Quentin,Groupama - FDJ
Strade Bianche,77,KOERDT Bjorn,Team Picnic PostNL
Strade Bianche,78,CARAPAZ Richard,EF Education - EasyPost
Strade Bianche,79,SEPÚLVEDA Eduardo,Lotto
Strade Bianche,80,LE BERRE Mathis,Arkéa - B&B Hotels
Strade Bianche,81,BAIS Mattia,Team Polti VisitMalta
Strade Bianche,82,CURRIE Logan,Lotto
Strade Bianche,83,TSARENKO Kyrylo,Team Solution Tech - Vini Fantini
Strade Bianche,84,VANSEVENANT Mauri,Soudal Quick-Step
Strade Bianche,85,NORDHAGEN Jørgen,Team Visma | Lease a Bike
Strade Bianche,86,HELLEMOSE Asbjørn,Team Jayco AlUla
Strade Bianche,87,CHRISTEN Fabio,Q36.5 Pro Cycling Team
Strade Bianche,88,VAN DEN BROEK Frank,Team Picnic PostNL
Strade Bianche,89,DE CASSAN Davide,Team Polti VisitMalta
Strade Bianche,90,GRAAT Tijmen,Team Visma | Lease a Bike
Strade Bianche,91,PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team
Strade Bianche,92,GUGLIELMI Simon,Arkéa - B&B Hotels
Strade Bianche,93,RAISBERG Nadav,Israel - Premier Tech
Strade Bianche,94,WILKSCH Hannes,Tudor Pro Cycling Team
Strade Bianche,95,HOLTER Ådne,Uno-X Mobility
Strade Bianche,96,ERIKSSON Jacob,Tudor Pro Cycling Team
Strade Bianche,97,ISIDORE Noa,Decathlon AG2R La Mondiale Team
Strade Bianche,98,BURATTI Nicolò,Bahrain - Victorious
Strade Bianche,500,GUERREIRO Ruben,Movistar Team
Strade Bianche,500,BARONCINI Filippo,UAE Team Emirates - XRG
Strade Bianche,500,GROßSCHARTNER Felix,UAE Team Emirates - XRG
Strade Bianche,500,NOVAK Domen,UAE Team Emirates - XRG
Strade Bianche,500,GAZE Samuel,Alpecin - Deceuninck
Strade Bianche,500,GLIVAR Gal,Alpecin - Deceuninck
Strade Bianche,500,MEURISSE Xandro,Alpecin - Deceuninck
Strade Bianche,500,PRICE-PEJTERSEN Johan,Alpecin - Deceuninck
Strade Bianche,500,VERSTRYNGE Emiel,Alpecin - Deceuninck
Strade Bianche,500,ROULAND Louis,Arkéa - B&B Hotels
Strade Bianche,500,VENTURINI Clément,Arkéa - B&B Hotels
Strade Bianche,500,PASQUALON Andrea,Bahrain - Victorious
Strade Bianche,500,STANNARD Robert,Bahrain - Victorious
Strade Bianche,500,VAN DER MEULEN Max,Bahrain - Victorious
Strade Bianche,500,FERRON Valentin,Cofidis
Strade Bianche,500,LASTRA Jonathan,Cofidis
Strade Bianche,500,OURSELIN Paul,Cofidis
Strade Bianche,500,BERTHET Clément,Decathlon AG2R La Mondiale Team
Strade Bianche,500,DEWULF Stan,Decathlon AG2R La Mondiale Team
Strade Bianche,500,COSTA Rui,EF Education - EasyPost
Strade Bianche,500,RYAN Archie,EF Education - EasyPost
Strade Bianche,500,GAUDU David,Groupama - FDJ
Strade Bianche,500,ROCHAS Rémy,Groupama - FDJ
Strade Bianche,500,KWIATKOWSKI Michał,INEOS Grenadiers
Strade Bianche,500,HEIDUK Kim,INEOS Grenadiers
Strade Bianche,500,PUCCIO Salvatore,INEOS Grenadiers
Strade Bianche,500,SHMIDT Artem,INEOS Grenadiers
Strade Bianche,500,BONNEU Kamiel,Intermarché - Wanty
Strade Bianche,500,PAQUOT Tom,Intermarché - Wanty
Strade Bianche,500,PETILLI Simone,Intermarché - Wanty
Strade Bianche,500,FAURE PROST Alexy,Intermarché - Wanty
Strade Bianche,500,NEILANDS Krists,Israel - Premier Tech
Strade Bianche,500,SHEEHAN Riley,Israel - Premier Tech
Strade Bianche,500,BAGIOLI Andrea,Lidl - Trek
Strade Bianche,500,MOSCA Jacopo,Lidl - Trek
Strade Bianche,500,SIMMONS Quinn,Lidl - Trek
Strade Bianche,500,VACEK Mathias,Lidl - Trek
Strade Bianche,500,DRIZNERS Jarrad,Lotto
Strade Bianche,500,GREGAARD Jonas,Lotto
Strade Bianche,500,CIMOLAI Davide,Movistar Team
Strade Bianche,500,SÁNCHEZ Pelayo,Movistar Team
Strade Bianche,500,TESFATSION Natnael,Movistar Team
Strade Bianche,500,AZPARREN Xabier Mikel,Q36.5 Pro Cycling Team
Strade Bianche,500,BRAMBILLA Gianluca,Q36.5 Pro Cycling Team
Strade Bianche,500,VADER Milan,Q36.5 Pro Cycling Team
Strade Bianche,500,ZUKOWSKY Nickolas,Q36.5 Pro Cycling Team
Strade Bianche,500,KOCH Jonas,Red Bull - BORA - hansgrohe
Strade Bianche,500,MACIEJUK Filip,Red Bull - BORA - hansgrohe
Strade Bianche,500,MOSCON Gianni,Red Bull - BORA - hansgrohe
Strade Bianche,500,PALZER Anton,Red Bull - BORA - hansgrohe
Strade Bianche,500,VAN DIJKE Tim,Red Bull - BORA - hansgrohe
Strade Bianche,500,BALDACCINI Davide,Team Solution Tech - Vini Fantini
Strade Bianche,500,PIRAS Andrea,Team Solution Tech - Vini Fantini
Strade Bianche,500,SBARAGLI Kristian,Team Solution Tech - Vini Fantini
Strade Bianche,500,TISSIÈRES Arnaud,Team Solution Tech - Vini Fantini
Strade Bianche,500,SERRY Pieter,Soudal Quick-Step
Strade Bianche,500,VERVAEKE Louis,Soudal Quick-Step
Strade Bianche,500,DE MARCHI Alessandro,Team Jayco AlUla
Strade Bianche,500,DE PRETTO Davide,Team Jayco AlUla
Strade Bianche,500,HATHERLY Alan,Team Jayco AlUla
Strade Bianche,500,VERMAERKE Kevin,Team Picnic PostNL
Strade Bianche,500,COMBAUD Romain,Team Picnic PostNL
Strade Bianche,500,DHONDT Robbe,Team Picnic PostNL
Strade Bianche,500,POOLE Max,Team Picnic PostNL
Strade Bianche,500,MARTÍN Alex,Team Polti VisitMalta
Strade Bianche,500,RACCAGNI Gabriele,Team Polti VisitMalta
Strade Bianche,500,SERRANO Javier,Team Polti VisitMalta
Strade Bianche,500,SEVILLA Diego Pablo,Team Polti VisitMalta
Strade Bianche,500,HUISING Menno,Team Visma | Lease a Bike
Strade Bianche,500,VAN DER SANDE Tosh,Team Visma | Lease a Bike
Strade Bianche,500,VERMOTE Julien,Team Visma | Lease a Bike
Strade Bianche,500,THALMANN Roland,Tudor Pro Cycling Team
Strade Bianche,500,BETTIOL Alberto,XDS Astana Team
Strade Bianche,500,SCARONI Christian,XDS Astana Team
Strade Bianche,500,SCHELLING Ide,XDS Astana Team
Strade Bianche,500,ULISSI Diego,XDS Astana Team
Strade Bianche,501,MOHORIČ Matej,Bahrain - Victorious
Omloop Nieuwsblad ME,1,WÆRENSKJOLD Søren,Uno-X Mobility
Omloop Nieuwsblad ME,2,MAGNIER Paul,Soudal Quick-Step
Omloop Nieuwsblad ME,3,PHILIPSEN Jasper,Alpecin - Deceuninck
Omloop Nieuwsblad ME,4,VAN MOER Brent,Lotto
Omloop Nieuwsblad ME,5,WATSON Samuel,INEOS Grenadiers
Omloop Nieuwsblad ME,6,KUBIŠ Lukáš,Unibet Tietema Rockets
Omloop Nieuwsblad ME,7,ALLEGAERT Piet,Cofidis
Omloop Nieuwsblad ME,8,ALBANESE Vincenzo,EF Education - EasyPost
Omloop Nieuwsblad ME,9,VAN DEN BERG Marijn,EF Education - EasyPost
Omloop Nieuwsblad ME,10,ASKEY Lewis,Groupama - FDJ
Omloop Nieuwsblad ME,11,VAN AERT Wout,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,12,TRENTIN Matteo,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,13,PEDERSEN Rasmus Søjberg,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,14,RENARD Alexis,Cofidis
Omloop Nieuwsblad ME,15,VAN DIJKE Tim,Red Bull - BORA - hansgrohe
Omloop Nieuwsblad ME,16,VACEK Mathias,Lidl - Trek
Omloop Nieuwsblad ME,17,LIVYNS Arjen,Lotto
Omloop Nieuwsblad ME,18,BOL Cees,XDS Astana Team
Omloop Nieuwsblad ME,19,TEUNISSEN Mike,XDS Astana Team
Omloop Nieuwsblad ME,20,STEWART Jake,Israel - Premier Tech
Omloop Nieuwsblad ME,21,CAPIOT Amaury,Arkéa - B&B Hotels
Omloop Nieuwsblad ME,22,NAESEN Oliver,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,23,ADRIÀ Roger,Red Bull - BORA - hansgrohe
Omloop Nieuwsblad ME,24,PLUIMERS Rick,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,25,BISSEGGER Stefan,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,26,VAN DIJKE Mick,Red Bull - BORA - hansgrohe
Omloop Nieuwsblad ME,27,REINDERS Elmar,Team Jayco AlUla
Omloop Nieuwsblad ME,28,LOUVEL Matis,Israel - Premier Tech
Omloop Nieuwsblad ME,29,BIERMANS Jenthe,Arkéa - B&B Hotels
Omloop Nieuwsblad ME,30,REX Laurenz,Intermarché - Wanty
Omloop Nieuwsblad ME,31,SKUJIŅŠ Toms,Lidl - Trek
Omloop Nieuwsblad ME,32,KÜNG Stefan,Groupama - FDJ
Omloop Nieuwsblad ME,33,DEWULF Stan,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,34,BRAET Vito,Intermarché - Wanty
Omloop Nieuwsblad ME,35,PEDERSEN Casper,Soudal Quick-Step
Omloop Nieuwsblad ME,36,DE VRIES Hartthijs,Unibet Tietema Rockets
Omloop Nieuwsblad ME,37,GENIETS Kevin,Groupama - FDJ
Omloop Nieuwsblad ME,38,PIDCOCK Thomas,Q36.5 Pro Cycling Team
Omloop Nieuwsblad ME,39,WRIGHT Fred,Bahrain - Victorious
Omloop Nieuwsblad ME,40,ASGREEN Kasper,EF Education - EasyPost
Omloop Nieuwsblad ME,41,RUTSCH Jonas,Intermarché - Wanty
Omloop Nieuwsblad ME,42,MORGADO António,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,43,NARVÁEZ Jhonatan,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,44,BENOOT Tiesj,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,45,TEUNS Dylan,Cofidis
Omloop Nieuwsblad ME,46,WELLENS Tim,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,47,TARLING Joshua,INEOS Grenadiers
Omloop Nieuwsblad ME,48,STUYVEN Jasper,Lidl - Trek
Omloop Nieuwsblad ME,49,VERMEERSCH Gianni,Alpecin - Deceuninck
Omloop Nieuwsblad ME,50,POLITT Nils,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,51,LAMPAERT Yves,Soudal Quick-Step
Omloop Nieuwsblad ME,52,JORGENSON Matteo,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,53,ABRAHAMSEN Jonas,Uno-X Mobility
Omloop Nieuwsblad ME,54,VAN BOVEN Luca,Intermarché - Wanty
Omloop Nieuwsblad ME,55,CHRISTEN Fabio,Q36.5 Pro Cycling Team
Omloop Nieuwsblad ME,56,DEWEIRDT Siebe,Team Flanders - Baloise
Omloop Nieuwsblad ME,57,EENKHOORN Pascal,Soudal Quick-Step
Omloop Nieuwsblad ME,58,VERCOUILLIE Victor,Team Flanders - Baloise
Omloop Nieuwsblad ME,59,TRATNIK Jan,Red Bull - BORA - hansgrohe
Omloop Nieuwsblad ME,60,VAN DEN BERG Julius,Team Picnic PostNL
Omloop Nieuwsblad ME,61,LEIJNSE Enzo,Team Picnic PostNL
Omloop Nieuwsblad ME,62,HONORÉ Mikkel Frølich,EF Education - EasyPost
Omloop Nieuwsblad ME,63,MEURISSE Xandro,Alpecin - Deceuninck
Omloop Nieuwsblad ME,64,VAN GESTEL Dries,Soudal Quick-Step
Omloop Nieuwsblad ME,65,GROVES Kaden,Alpecin - Deceuninck
Omloop Nieuwsblad ME,66,MARIT Arne,Intermarché - Wanty
Omloop Nieuwsblad ME,67,TILLER Rasmus,Uno-X Mobility
Omloop Nieuwsblad ME,68,STEIMLE Jannik,Q36.5 Pro Cycling Team
Omloop Nieuwsblad ME,69,BRENNAN Matthew,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,70,BJERG Mikkel,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,71,VAN ASBROECK Tom,Israel - Premier Tech
Omloop Nieuwsblad ME,72,HUENS Axel,Unibet Tietema Rockets
Omloop Nieuwsblad ME,73,KRIJNSEN Jelte,Team Jayco AlUla
Omloop Nieuwsblad ME,74,PASQUALON Andrea,Bahrain - Victorious
Omloop Nieuwsblad ME,75,BYSTRØM Sven Erik,Groupama - FDJ
Omloop Nieuwsblad ME,76,FLYNN Sean,Team Picnic PostNL
Omloop Nieuwsblad ME,77,DE BONDT Dries,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,78,VANHOOF Ward,Team Flanders - Baloise
Omloop Nieuwsblad ME,79,STOCKMAN Abram,Unibet Tietema Rockets
Omloop Nieuwsblad ME,80,RESELL Erik Nordsæter,Uno-X Mobility
Omloop Nieuwsblad ME,81,O'BRIEN Kelland,Team Jayco AlUla
Omloop Nieuwsblad ME,82,GARCÍA CORTINA Iván,Movistar Team
Omloop Nieuwsblad ME,83,BARRENETXEA Jon,Movistar Team
Omloop Nieuwsblad ME,84,THIERRY Pierre,Arkéa - B&B Hotels
Omloop Nieuwsblad ME,85,JOHANNINK Jelle,Unibet Tietema Rockets
Omloop Nieuwsblad ME,86,DE LIE Arnaud,Lotto
Omloop Nieuwsblad ME,87,SKAARSETH Anders,Uno-X Mobility
Omloop Nieuwsblad ME,88,ERMAKOV Roman,Bahrain - Victorious
Omloop Nieuwsblad ME,89,GRIGNARD Sébastien,Lotto
Omloop Nieuwsblad ME,90,DONALDSON Robert,Team Jayco AlUla
Omloop Nieuwsblad ME,91,FOLDAGER Anders,Team Jayco AlUla
Omloop Nieuwsblad ME,92,BEULLENS Cedric,Lotto
Omloop Nieuwsblad ME,93,DOULL Owain,EF Education - EasyPost
Omloop Nieuwsblad ME,94,BLACKMORE Joseph,Israel - Premier Tech
Omloop Nieuwsblad ME,95,KOPECKÝ Tomáš,Unibet Tietema Rockets
Omloop Nieuwsblad ME,96,DECLERCQ Tim,Lidl - Trek
Omloop Nieuwsblad ME,97,HVIDEBERG Jonas Hem,Uno-X Mobility
Omloop Nieuwsblad ME,98,EPIS Giosuè,Arkéa - B&B Hotels
Omloop Nieuwsblad ME,99,SHMIDT Artem,INEOS Grenadiers
Omloop Nieuwsblad ME,100,SHEEHAN Riley,Israel - Premier Tech
Omloop Nieuwsblad ME,101,HERREGODTS Rune,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,102,GELEIJN Owen,Unibet Tietema Rockets
Omloop Nieuwsblad ME,103,STANNARD Robert,Bahrain - Victorious
Omloop Nieuwsblad ME,104,DEGENKOLB John,Team Picnic PostNL
Omloop Nieuwsblad ME,105,DILLIER Silvan,Alpecin - Deceuninck
Omloop Nieuwsblad ME,106,RUSSO Clément,Groupama - FDJ
Omloop Nieuwsblad ME,107,GAZZOLI Michele,XDS Astana Team
Omloop Nieuwsblad ME,108,HOOLE Daan,Lidl - Trek
Omloop Nieuwsblad ME,109,LE GAC Olivier,Groupama - FDJ
Omloop Nieuwsblad ME,110,SÉNÉCHAL Florian,Arkéa - B&B Hotels
Omloop Nieuwsblad ME,111,REINDERINK Pepijn,Soudal Quick-Step
Omloop Nieuwsblad ME,112,ROMELE Alessandro,XDS Astana Team
Omloop Nieuwsblad ME,113,AULAR Orluis,Movistar Team
Omloop Nieuwsblad ME,114,VANDENSTORME Dylan,Team Flanders - Baloise
Omloop Nieuwsblad ME,115,GRADEK Kamil,Bahrain - Victorious
Omloop Nieuwsblad ME,116,GELDERS Gil,Soudal Quick-Step
Omloop Nieuwsblad ME,117,BETTIOL Alberto,XDS Astana Team
Omloop Nieuwsblad ME,118,HEIDUK Kim,INEOS Grenadiers
Omloop Nieuwsblad ME,119,LIENHARD Fabian,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,120,SWIFT Connor,INEOS Grenadiers
Omloop Nieuwsblad ME,121,JUNGELS Bob,INEOS Grenadiers
Omloop Nieuwsblad ME,122,HALLER Marco,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,123,TURNER Ben,INEOS Grenadiers
Omloop Nieuwsblad ME,124,THEUNS Edward,Lidl - Trek
Omloop Nieuwsblad ME,125,GUDMESTAD Tord,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,126,HAGENES Per Strand,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,127,RIESEBEEK Oscar,Alpecin - Deceuninck
Omloop Nieuwsblad ME,128,LAZKANO Oier,Red Bull - BORA - hansgrohe
Omloop Nieuwsblad ME,129,DE GENDT Aimé,Cofidis
Omloop Nieuwsblad ME,130,MAYRHOFER Marius,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,131,SCHELLING Ide,XDS Astana Team
Omloop Nieuwsblad ME,132,VALGREN Michael,EF Education - EasyPost
Omloop Nieuwsblad ME,133,DE BUYST Jasper,Lotto
Omloop Nieuwsblad ME,134,CAMPENAERTS Victor,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,135,FROIDEVAUX Robin,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,136,GHYS Robbe,Alpecin - Deceuninck
Omloop Nieuwsblad ME,137,TAMINIAUX Lionel,Lotto
Omloop Nieuwsblad ME,138,COQUARD Bryan,Cofidis
Omloop Nieuwsblad ME,139,BALLERINI Davide,XDS Astana Team
Omloop Nieuwsblad ME,140,NORSGAARD Mathias,Movistar Team
Omloop Nieuwsblad ME,141,MAHOUDO Nolann,Cofidis
Omloop Nieuwsblad ME,142,VERMEERSCH Florian,UAE Team Emirates - XRG
Omloop Nieuwsblad ME,143,JACOBS Johan,Groupama - FDJ
Omloop Nieuwsblad ME,144,ZUKOWSKY Nickolas,Q36.5 Pro Cycling Team
Omloop Nieuwsblad ME,145,SCOTSON Miles,Arkéa - B&B Hotels
Omloop Nieuwsblad ME,146,DEMAN Brem,Team Flanders - Baloise
Omloop Nieuwsblad ME,147,KELEMEN Petr,Tudor Pro Cycling Team
Omloop Nieuwsblad ME,148,POLLEFLIET Gianluca,Decathlon AG2R La Mondiale Team
Omloop Nieuwsblad ME,149,TEUTENBERG Tim Torn,Lidl - Trek
Omloop Nieuwsblad ME,150,JANSEN Amund Grøndahl,Uno-X Mobility
Omloop Nieuwsblad ME,151,ROBEET Ludovic,Cofidis
Omloop Nieuwsblad ME,152,MOHORIČ Matej,Bahrain - Victorious
Omloop Nieuwsblad ME,153,AFFINI Edoardo,Team Visma | Lease a Bike
Omloop Nieuwsblad ME,154,GOVEKAR Matevž,Bahrain - Victorious
Omloop Nieuwsblad ME,155,STEWART Campbell,Team Jayco AlUla
