racename,riderposition,ridername,riderteam
Santos Tour Down Under,92,BOVEN Lars,Alpecin - Deceuninck
Santos Tour Down Under,93,VAN DER LEE Jardi Christiaan,EF Education - EasyPost
Santos Tour Down Under,94,WALLS Matthew,Groupama - FDJ
Santos Tour Down Under,95,CONCI Nicola,XDS Astana Team
Santos Tour Down Under,96,EDMONDSON Alex,Team Picnic PostNL
Santos Tour Down Under,97,EDDY Patrick,Team Picnic PostNL
Santos Tour Down Under,98,OLIVEIRA Rui,UAE Team Emirates - XRG
Santos Tour Down Under,99,EPIS Giosuè,Arkéa - B&B Hotels
Santos Tour Down Under,100,BLEDDYN Oliver,Australia
Santos Tour Down Under,101,ARNDT Nikias,Bahrain - Victorious
Santos Tour Down Under,102,BAUHAUS Phil,Bahrain - Victorious
Santos Tour Down Under,103,MÜHLBERGER Gregor,Movistar Team
Santos Tour Down Under,104,CÔTÉ Pier-André,Israel - Premier Tech
Santos Tour Down Under,105,MARIT Arne,Intermarché - Wanty
Santos Tour Down Under,106,CLARKE Simon,Israel - Premier Tech
Santos Tour Down Under,107,TODOME Yuhi,EF Education - EasyPost
Santos Tour Down Under,108,RACCAGNI NOVIERO Andrea,Soudal Quick-Step
Santos Tour Down Under,109,VAN DEN BERG Julius,Team Picnic PostNL
Santos Tour Down Under,110,ISIDORE Noa,Decathlon AG2R La Mondiale Team
Santos Tour Down Under,111,SCOTT Cameron,Australia
Santos Tour Down Under,112,SCHELLING Ide,XDS Astana Team
Santos Tour Down Under,113,MAAS Jan,Cofidis
Santos Tour Down Under,114,WELSFORD Sam,Red Bull - BORA - hansgrohe
Santos Tour Down Under,115,DEBRUYNE Ramses,Alpecin - Deceuninck
Santos Tour Down Under,116,MAHOUDO Nolann,Cofidis
Santos Tour Down Under,117,HERREGODTS Rune,UAE Team Emirates - XRG
Santos Tour Down Under,118,MACIEJUK Filip,Red Bull - BORA - hansgrohe
Santos Tour Down Under,119,GRONDIN Donavan,Arkéa - B&B Hotels
Santos Tour Down Under,120,JOHANSEN Julius,UAE Team Emirates - XRG
Santos Tour Down Under,121,DURBRIDGE Luke,Team Jayco AlUla
Santos Tour Down Under,122,STEWART Campbell,Team Jayco AlUla
Santos Tour Down Under,123,NORSGAARD Mathias,Movistar Team
Santos Tour Down Under,124,KNOX James,Soudal Quick-Step
Santos Tour Down Under,125,WALSH Liam,Australia
Santos Tour Down Under,126,MULLEN Ryan,Red Bull - BORA - hansgrohe
Santos Tour Down Under,127,HEPBURN Michael,Team Jayco AlUla
Santos Tour Down Under,128,VERMOTE Julien,Team Visma | Lease a Bike
Santos Tour Down Under,129,THOMAS Geraint,INEOS Grenadiers
Santos Tour Down Under,130,LE HUITOUZE Eddy,Groupama - FDJ
Santos Tour Down Under,131,SKERL Daniel,Bahrain - Victorious
Santos Tour Down Under,132,DEHAIRS Simon,Alpecin - Deceuninck
Santos Tour Down Under,133,PAQUOT Tom,Intermarché - Wanty
Santos Tour Down Under,134,VAN DER HOORN Taco,Intermarché - Wanty
UAE Tour,1,POGAČAR Tadej,UAE Team Emirates - XRG
UAE Tour,2,CICCONE Giulio,Lidl - Trek
UAE Tour,3,BILBAO Pello,Bahrain - Victorious
UAE Tour,4,ROMEO Iván,Movistar Team
UAE Tour,5,ONLEY Oscar,Team Picnic PostNL
UAE Tour,6,FISHER-BLACK Finn,Red Bull - BORA - hansgrohe
UAE Tour,7,CASTRILLO Pablo,Movistar Team
UAE Tour,8,LECERF Junior,Soudal Quick-Step
UAE Tour,9,TEJADA Harold,XDS Astana Team
UAE Tour,10,KONRAD Patrick,Lidl - Trek
UAE Tour,11,VAN EETVELT Lennert,Lotto
UAE Tour,12,STEINHAUSER Georg,EF Education - EasyPost
UAE Tour,13,KEPPLINGER Rainer,Bahrain - Victorious
UAE Tour,14,VINE Jay,UAE Team Emirates - XRG
UAE Tour,15,STORER Michael,Tudor Pro Cycling Team
UAE Tour,16,RUBIO Einer,Movistar Team
UAE Tour,17,RICCITELLO Matthew,Israel - Premier Tech
UAE Tour,18,GALL Felix,Decathlon AG2R La Mondiale Team
UAE Tour,19,PINARELLO Alessandro,VF Group - Bardiani CSF - Faizanè
UAE Tour,20,ARMIRAIL Bruno,Decathlon AG2R La Mondiale Team
UAE Tour,21,TARLING Joshua,INEOS Grenadiers
